Date,Open,High,Low,Close,Adj Close,Volume
12-01-2015,493.584869,506.798584,486.225067,506.688873,506.688873,11947111
19-01-2015,509.600891,540.685547,504.630524,538.471619,538.471619,9459399
26-01-2015,537.055542,538.391846,499.827728,533.056519,533.056519,14924262
02-02-2015,530.274109,535.729126,517.130249,529.546143,529.546143,10165434
09-02-2015,526.554321,548.404358,524.579773,547.506836,547.506836,7915973
16-02-2015,545.332764,548.49408,534.333008,537.474365,537.474365,5503369
23-02-2015,534.582275,563.163818,526.80365,556.871094,556.871094,9010672
02-03-2015,558.9953,576.327698,557.220154,566.130676,566.130676,8759986
09-03-2015,565.307922,568.708618,542.729919,545.821472,545.821472,7768369
16-03-2015,549.441528,560.182007,544.505066,558.825745,558.825745,9395224
23-03-2015,558.895569,573.016785,546.629211,546.838684,546.838684,9849468
30-03-2015,550.10968,553.191223,532.385315,534.063721,534.063721,6555047
06-04-2015,530.762817,542.360962,528.120056,538.531433,538.531433,6773144
13-04-2015,536.935852,542.570374,519.583496,522.615173,522.615173,10020035
20-04-2015,524.160889,569.576233,523.063904,563.512878,563.512878,14234975
27-04-2015,563.390015,565.950012,532.099976,537.900024,537.900024,9438200
04-05-2015,538.530029,544.070007,521.085022,538.219971,538.219971,7332000
11-05-2015,538.369995,541.97998,525.26001,533.849976,533.849976,7167000
18-05-2015,532.01001,544.190002,528.849976,540.109985,540.109985,8040000
25-05-2015,538.119995,540.609985,529.880005,532.109985,532.109985,7558700
01-06-2015,536.789978,543.5,529.76001,533.330017,533.330017,8296800
08-06-2015,533.309998,538.97998,523.01001,532.330017,532.330017,6964200
15-06-2015,528,538.25,524,536.690002,536.690002,7725300
22-06-2015,539.590027,543.73999,531.349976,531.690002,531.690002,7179200
29-06-2015,525.01001,528.609985,518.22998,523.400024,523.400024,7351900
06-07-2015,519.5,532.559998,515.179993,530.130005,530.130005,7973400
13-07-2015,532.880005,674.468018,532.400024,672.929993,672.929993,23168400
20-07-2015,659.23999,678.640015,622.52002,623.559998,623.559998,19822200
27-07-2015,621,635.219971,620.5,625.609985,625.609985,9158100
03-08-2015,625.340027,647.859985,625.340027,635.299988,635.299988,8106200
